出表日期,公司代號,公司名稱,召開股東會日期,股東依公司法第172條之1行使提案權-提案受理期間,提案受理處所,提案內容,date
1150514,1409,新纖,1150528,1150130~1150209,新光合成纖維股份有限公司董事會秘書室(台北市大安區仁愛路三段136號5樓，電話：02-2507-1259),,2026-05-15
1150514,1410,南染,1150611,1150327~1150407,南洋染整股份有限公司，台北市中山區林森北路577號8樓之一,,2026-05-15
1150514,1413,宏洲,1150522,1150313~1150323,宏洲纖維工業股份有限公司，台北市內湖區瑞光路607號7樓，電話：02-26575859﹞,,2026-05-15
1150514,1414,東和,1150615,1150323~1150402,東和紡織股份有限公司，地址：10693台北市大安區仁愛路四段376號13樓,,2026-05-15
1150514,1416,廣豐,1150522,1150313~1150323,廣豐實業股份有限公司股務部，地址:台北市大安區敦化南路二段97號28樓,"依公司法第172-1條行使權利,提案更改股息由公司公告0.57元變更為0.8元",2026-05-15
1150514,1417,嘉裕,1150522,1150306~1150316,嘉裕股份有限公司財會部(地址:台北市仁愛路四段二十五號七樓，電話:02-2711-3171，分機293),,2026-05-15
1150514,1418,東華,1150608,1150331~1150410,東華龍股份有限公司股務室(地址：台北市中正區新生南路一段56號9樓，電話：(02)2396-7768轉618),,2026-05-15
1150514,1419,新紡,1150612,1150402~1150414,新光紡織股份有限公司管理部（台北市中山北路二段44號15樓）電話：02-25071258分機869,,2026-05-15
1150514,1423,利華,1150618,1150402~1150413,地址:台北市大安區忠孝東路四段310號12樓。,,2026-05-15
1150514,1432,大魯閣,1150528,1150320~1150330,本公司-台中市東區復興路4段186號8樓,,2026-05-15
1150514,1434,福懋,1150626,1150420~1150429,114030台北市內湖區南京東路六段380號10樓，本公司股務組。,,2026-05-15
1150514,1435,中福,1150618,1150410~1150421,中福國際股份有限公司（地址：新北市中和區景平路666號2樓）,解任本公司力大資本有限公司及其代表人陳建（或另派代表人）之董事職務。,2026-05-15
1150514,1436,華友聯,1150527,1150320~1150330,華友聯開發股份有限公司管理部股務課，地址：(830-009)高雄市鳳山區文龍路85號11樓，電話：(07)7801-381,,2026-05-15
1150514,1437,勤益控,1150609,1150327~1150407,勤益投資控股股份有限公司會計部(台北市忠孝東路四段320號9樓),,2026-05-15
1150514,1438,三地開發,1150625,1150410~1150420,三地開發地產股份有限公司 財會部，地址：高雄市苓雅區中正二路175號16樓之3。,,2026-05-15
1150514,1439,雋揚,1150617,1150410~1150420,雋揚國際股份有限公司財務會計部（臺北巿南港區經貿一路170號11樓）,,2026-05-15
1150514,1440,南紡,1150526,1150313~1150323,臺南紡織股份有限公司行政管理部/臺南市東區中華東路一段398號10樓,,2026-05-15
1150514,1441,大東,1150604,1150329~1150408,台北市南京東路三段346號3樓 大東紡織股份有限公司財務部 電話 02-2752-2244,,2026-05-15
1150514,1442,名軒,1150527,1150320~1150330,242018新北市新莊區中華路三段218號8樓(名軒開發股份有限公司),,2026-05-15
1150514,1443,立益物流,1150609,1150330~1150409,(請輸入受理處所及地址，立益物流開發股份有限公司股務部(地址： 台北市大同區西寧北路70號6樓,,2026-05-15
1150514,1444,力麗,1150609,1150402~1150413,力麗企業股份有限公司，台北市松江路162號12樓股務室,,2026-05-15
1150514,1445,大宇,1150601,1150328~1150407,大宇紡織股份有限公司管理部，台北市西寧北路62-5號7樓,,2026-05-15
1150514,1446,宏和,1150605,1150329~1150408,台南市永康區中山南路473號本公司管理部,,2026-05-15
1150514,1447,力鵬,1150609,1150402~1150413,力鵬企業股份有限公司股務室，台北市松江路162號12樓,,2026-05-15
1150514,1449,佳和,1150624,1150410~1150420,佳和實業股份有限公司財務部(地址:台南市官田區工業路11號，電話:06-7029961),,2026-05-15
1150514,1451,年興,1150616,1150411~1150421,年興紡織股份有限公司 (114台北市內湖區內湖路一段306號13樓),,2026-05-15
1150514,1452,宏益,1150612,1150404~1150414,宏益纖維工業股份有限公司，台北市大同區塔城街66號6樓。,,2026-05-15
1150514,1453,大將,1150612,1150328~1150407,大將開發股份有限公司（管理部），地址:台北市大安區敦化南路二段71號6樓，電話:27069999。,,2026-05-15
1150514,1454,台富,1150610,1150403~1150413,台灣富綢纖維股份有限公司財務部(台北市西寧北路70之1號11樓，電話：25568282),,2026-05-15
1150514,1455,集盛,1150615,1150411~1150421,集盛實業股份有限公司『公司治理室』地址：台北市西寧北路70號2樓,,2026-05-15
1150514,1456,怡華,1150529,1150323~1150402,怡華實業股份有限公司財會部(台北市內湖區內湖路一段392號12樓之1)電話：02-8797-8780,,2026-05-15
1150514,1457,宜進,1150529,1150320~1150330,宜進實業股份有限公司 ，台北市內湖區瑞光路607號7樓,,2026-05-15
1150514,1459,聯發,1150512,1150306~1150316,聯發紡織纖維股份有限公司 財務部 住址：台北市環河北路一段73號7樓之5,,2026-05-15
1150514,1460,宏遠,1150526,1150321~1150330,如亞東證券股份有限公司股務代理部（地址：新北市板橋區新站路16號13樓),,2026-05-15
1150514,1463,強盛新,1150624,1150417~1150427,台北市大同區迪化街一段63號6樓(本公司),,2026-05-15
1150514,1464,得力,1150609,1150330~1150409,得力實業股份有限公司【台南市新市區三舍里復興路820號】聯絡人:楊金雀,,2026-05-15
1150514,1465,偉全,1150602,1150320~1150330,偉全實業股份有限公司總經理室(台北市西寧北路62-5號6樓),,2026-05-15
1150514,1466,聚隆,1150616,1150406~1150415,聚隆纖維(股)公司財務課(彰化縣彰化市彰鹿路105-4號),,2026-05-15
1150514,1467,南緯,1150612,1150402~1150414,富邦綜合證券股份有限公司股務代理部 臺北市中正區許昌街17號11樓,,2026-05-15
1150514,1468,昶和,1150615,1150316~1150326,昶和纖維興業股份有限公司，台北市忠孝東路四段270號9樓。,,2026-05-15
1150514,1470,大統新創,1150623,1150420~1150429,大統新創股份有限公司股務，地址：桃園市蘆竹區榮安路9號。,,2026-05-15
1150514,1471,首利,1150625,1150331~1150410,首利實業股份有限公司 管理部 (新北市五股區五權七路18號3樓),,2026-05-15
1150514,1472,三洋實業,1150526,1150320~1150330,三洋實業股份有限公司 財會部（地址：高雄市大社區嘉保路360號，電話：07-3560666#320),,2026-05-15
1150514,1473,台南,1150526,1150313~1150323,本公司財務處。(地址：台北市中正區杭州南路一段15-1號18樓 電話：02-23916421),,2026-05-15
1150514,1474,弘裕,1150623,1150417~1150427,弘裕企業股份有限公司 財務部(509彰化縣伸港鄉全興工業區工西一路60號),,2026-05-15
1150514,1475,業旺,1150626,1150417~1150427,台灣業旺股份有限公司（台北市中正區北平東路36號8樓）　聯絡單位：財務部　電話：03-2756558,,2026-05-15
1150514,1476,儒鴻,1150529,1150130~1150209,「儒鴻企業股份有限公司董事會秘書組」(地址：新北市新莊區中央路 738號17樓),,2026-05-15
1150514,1477,聚陽,1150526,1150320~1150330,聚陽實業股份有限公司股務組，台北市忠孝東路四段550號4樓,,2026-05-15
1150514,1503,士電,1150617,1150401~1150413,士林電機廠股份有限公司財務處，台北市中山北路六段90號12樓。,,2026-05-15
1150514,1504,東元,1150528,1150320~1150330,台新證券股務代理部 (台北市建國北路一段96號B1),,2026-05-15
1150514,1506,正道,1150527,1150320~1150330,正道工業股份有限公司(地址：台南市仁德區中正西路1015號),,2026-05-15
1150514,1512,瑞利,1150624,1150418~1150428,瑞利企業股份有限公司財會處(高雄市仁武區高楠公路22號),,2026-05-15
1150514,1513,中興電,1150525,1150320~1150330,中興電工機械股份有限公司董事會秘書組(桃園市龜山區文德路25號),,2026-05-15
1150514,1514,亞力,1150611,1150330~1150409,亞力電機股份有限公司財務處 地址:台北市南港區三重路19-11號12樓。,,2026-05-15
1150514,1515,力山,1150520,1150227~1150309,力山工業股份有限公司財務管理部（地址：412台中市大里區仁化路261號，電話：04-24914141）,,2026-05-15
1150514,1516,川飛,1150625,1150413~1150423,川飛能源股份有限公司會計部(地址: 台北市信義區光復南路495號6樓之5)。,,2026-05-15
1150514,1517,利奇,1150625,1150417~1150427,利奇機械工業股份有限公司， 地址：彰化縣彰化市石牌里石牌路一段112號 （電話：04-7382121）,,2026-05-15
1150514,1519,華城,1150612,1150402~1150413,台北市大安區復興南路一段370號10樓(台北辦事處),,2026-05-15
1150514,1521,大億,1150611,1150327~1150407,本公司財務部（台南市南區新信&#63799;11號),,2026-05-15
1150514,1522,堤維西,1150617,1150410~1150420,堤維西交通工業股份有限公司財務部，台南市南區新樂路72-2號,,2026-05-15
1150514,1524,耿鼎,1150616,1150411~1150421,耿鼎企業股份有限公司(桃園市蘆竹區內溪路48號),,2026-05-15
1150514,1525,江申,1150526,1150321~1150401,江申工業股份有限公司股務課，新北市新店區中興路三段3號1樓,,2026-05-15
1150514,1526,日馳,1150623,1150417~1150427,本公司總經理室，地址：338桃園市蘆竹區海山中街51號，聯絡電話：(03)3543900分機2010,,2026-05-15
1150514,1527,鑽全,1150615,1150411~1150421,鑽全實業股份有限公司財會部，地址：台中市工業區36路24號,,2026-05-15
1150514,1528,恩德,1150522,1150313~1150323,台北市中山北路5段478號6樓，恩德科技(股)公司 總管理處,,2026-05-15
1150514,1529,樂事綠能,1150522,1150309~1150320,105411台北市松山區南京東路5段188號4樓之2 「樂事綠能科技股份有限公司 財務處」收,,2026-05-15
1150514,1530,亞崴,1150527,1150321~1150331,亞崴機電股份有限公司行政課，30543 新竹縣新埔鎮文山里關埔路水車頭段629號,,2026-05-15
1150514,1531,高林股,1150626,1150323~1150401,高林股份有限公司 財務部，地址：105台北市松山區敦化北路167號8樓,,2026-05-15
1150514,1532,勤美,1150623,1150417~1150427,勤美股份有限公司總管理處（台北市仁愛路四段85號4樓）,,2026-05-15
1150514,1533,車王電,1150623,1150410~1150420,車王電子股份有限公司財務處股務課，地址：台中市大雅區中清路四段85號，電話：04-25683366,,2026-05-15
1150514,1535,中宇,1150528,1150324~1150404,高雄市前鎮區成功二路88號8樓中宇環保工程股份有限公司財會處,,2026-05-15
1150514,1536,和大,1150529,1150320~1150331,和&#12068;&#12079;業股份有限公司中科分公司(台中市&#12068;雅區科雅路12號),,2026-05-15
1150514,1537,廣隆,1150617,1150410~1150420,廣隆光電科技股份有限公司財務部(地址：(540029)南投市自立三路6號),,2026-05-15
1150514,1538,正峰,1150629,1150424~1150504,正峰工業股份有限公司財務部(桃園市中壢區民族路六段576巷39弄28號),,2026-05-15
1150514,1539,巨庭,1150616,1150411~1150421,巨庭機械股份有限公司（地址：411台中市太平區永豐路78號 電話:04-2270-0258）,,2026-05-15
1150514,1540,喬福,1150629,1150417~1150428,台中市神岡區中山路1056號(本公司3樓管理部),,2026-05-15
1150514,1541,錩泰,1150622,1150414~1150424,錩泰工業股份有限公司股務課，台中市后里區南村路41號。,,2026-05-15
1150514,1558,伸興,1150525,1150317~1150327,伸興工業股份有限公司，台中市太平區永成路78號，04-22785177,,2026-05-15
1150514,1560,中砂,1150623,1150413~1150422,本公司總公司所在地(新北市鶯歌區中山路64號),,2026-05-15
1150514,1563,巧新,1150520,1150303~1150313,雲林縣斗六市雲科路三段八十號 財務部,,2026-05-15
1150514,1568,倉佑,1150526,1150320~1150330,本公司財務部，嘉義縣民雄鄉福樂村中山路18號  收件人:陳慧蓉經理。,,2026-05-15
1150514,1582,信錦,1150529,1150306~1150316,信錦企業股份有限公司（新北市中和區建康路168號9樓）,,2026-05-15
1150514,1583,程泰,1150529,1150322~1150401,程泰機械股份有限公司財務部　地址：台中市西屯區工業區五路十三號，信封加註「股東會提案函件」,,2026-05-15
1150514,1587,吉茂,1150604,1150327~1150407,吉茂精密股份有限公司財務部（彰化縣芳苑鄉後寮村工區六路三號）,,2026-05-15
1150514,1589,永冠-KY,1150630,1150425~1150505,台北市內湖區新湖一路93號4樓 董事長室。,,2026-05-15
1150514,1590,亞德客-KY,1150513,1150302~1150312,亞德客國際集團財務處 林小姐 電話: 02-2719-7538（地址︰台北市民生東路三段10號9樓）。,,2026-05-15
1150514,1597,直得,1150527,1150320~1150330,直得科技股份有限公司，台南市新市區南部科學園區大利一路三號,,2026-05-15
1150514,1598,岱宇,1150525,1150318~1150327,岱宇國際股份有限公司財務部(台北市中山區松江路111號12樓),,2026-05-15
1150514,1603,華電,1150624,1150414~1150424,中華電線電纜股份有限公司董事會(地址：10452台北市中山區中山北路3段58號4樓(02)2599-3456),,2026-05-15
1150514,1604,聲寶,1150616,1150410~1150420,聲寶股份有限公司法務部﹝地址：桃園市龜山區頂湖路19號),,2026-05-15
1150514,1605,華新,1150522,1150306~1150316,華新麗華股份有限公司股務聯辦室，臺北市內湖區行善路398號8樓,,2026-05-15
1150514,1608,華榮,1150617,1150330~1150409,華榮電線電纜股份有限公司 總公司股務處，801高雄市前金區中正四路170號,,2026-05-15
1150514,1609,大亞,1150522,1150316~1150325,台南市關廟區中山路二段249號,,2026-05-15
1150514,1611,中電,1150526,1150321~1150331,中國電器股份有限公司財務部，台北市行善路124號2樓,,2026-05-15
1150514,1612,宏泰,1150609,1150401~1150413,宏泰電工股份有限公司董事會秘書室（地址：台北市大安區敦化南路2段65號20樓，電話：(02)2701-1000）。,,2026-05-15
1150514,1614,三洋電,1150616,1150323~1150401,台灣三洋電機股份有限公司總務部，台北市中山區松江路266號10樓,,2026-05-15
1150514,1615,大山,1150615,1150407~1150416,大山電線電纜股份有限公司，雲林縣斗六市雲林路3 段369號,,2026-05-15
1150514,1616,億泰,1150615,1150410~1150420,億泰電線電纜股份有限公司(財務部)，地址：台北市仁愛路二段91巷1號1樓,,2026-05-15
1150514,1617,榮星,1150616,1150401~1150413,本公司財務部，台南市仁德區中正路三段231號,,2026-05-15
1150514,1618,合機,1150525,1150318~1150327,本公司董事長室，台北市復興南路一段36之9號3樓,,2026-05-15
1150514,1623,大東電,1150617,1150409~1150420,大東電業廠股份有限公司(股務單位)，地址：桃園市楊梅區梅獅路二段349巷3號。X公司股務部，台北X路X段X號X樓),,2026-05-15
1150514,1626,艾美特-KY,1150608,1150323~1150402,威昂發展有限公司台灣分公司，地址：台南市南區新忠路11號3樓。Mail:rose@tungfu.com.tw,,2026-05-15
1150514,1702,南僑,1150526,1150313~1150323,南僑投資控股股份有限公司(台北市大同區延平北路四段100號 財務處 收),,2026-05-15
1150514,1707,葡萄王,1150526,1150321~1150331,葡萄王生技股份有限公司財務處，地址：桃園市平鎮區金陵路二段402號,,2026-05-15
1150514,1708,東鹼,1150520,1150306~1150316,東南實業股份有限公司股務室(台北市大安區敦化南路二段99號23樓),,2026-05-15
1150514,1709,和益,1150611,1150327~1150407,和益化學工業股份有限公司股務室(地址：台北市萬華區柳州街80號7樓),,2026-05-15
1150514,1710,東聯,1150519,1150314~1150323,亞東證券股份有限公司股務代理部，新北市板橋區新站路16號13樓,,2026-05-15
1150514,1711,永光,1150528,1150227~1150309,臺灣永光化學工業股份有限公司財務處公司治理室，台北市大安區敦化南路2段77號6樓,,2026-05-15
1150514,1712,興農,1150526,1150321~1150331,興農股份有限公司管理部 (地址: 432402台中市大肚區中和里南榮路101 號，電話：(04)26933016,,2026-05-15
1150514,1713,國化,1150624,1150320~1150330,國泰化工廠股份有限公司(台北市忠孝東路4段320號12樓,,2026-05-15
1150514,1714,和桐,1150527,1150320~1150330,和桐化學股份有限公司股務室，新北市五股區中興路1段6號8樓,,2026-05-15
1150514,1717,長興,1150626,1150417~1150427,高雄市三民區建工路578號(本公司財務部),,2026-05-15
1150514,1718,中纖,1150611,1150402~1150413,本公司股務課（地址：台北市中正區新生南路一段50號11樓）,,2026-05-15
1150514,1720,生達,1150512,1150303~1150313,生達化學製藥股份有限公司 (台南市新營區開元路154號),,2026-05-15
1150514,1721,三晃,1150616,1150410~1150420,三晃股份有限公司，台中市西區中興街229號五樓,,2026-05-15
1150514,1722,台肥,1150527,1150313~1150323,台灣肥料股份有限公司董事會秘書處公司治理組(台北市南港區經貿一路170號17樓)。,,2026-05-15
1150514,1723,中碳,1150526,1150321~1150331,中鋼碳素化學股份有限公司(地址：80661高雄市前鎮區成功二路88號25樓管理處),,2026-05-15
1150514,1725,元禎,1150520,1150313~1150323,元禎企業股份有限公司，地址：(105)台北市民生東路四段54號3樓之3。,,2026-05-15
1150514,1726,永記,1150529,1150310~1150320,永記造漆工業股份有限公司董事會秘書室(高雄市小港區沿海三路26號),,2026-05-15
1150514,1727,中華化,1150529,1150320~1150331,桃園市觀音區樹林里工業五路15號 財會部,,2026-05-15
1150514,1730,花仙子,1150529,1150316~1150326,花仙子企業股份有限公司會計部，台北市承德路三段230號13樓,,2026-05-15
1150514,1731,美吾華,1150610,1150303~1150313,美吾華股份有限公司。地址：台北市復興北路167號5樓。電話：(02)27136621,,2026-05-15
1150514,1732,毛寶,1150611,1150327~1150407,毛寶股份有限公司財務課 (地址：新北市三重區重新路四段97號19樓)。,,2026-05-15
1150514,1733,五鼎,1150522,1150313~1150324,五鼎生物技術(股)公司管理部(地址:新竹市科學園區力行五路七號),,2026-05-15
1150514,1734,杏輝,1150616,1150410~1150420,杏輝藥品工業股份有限公司 地址：宜蘭縣冬山鄉中山村中山路84號,,2026-05-15
1150514,1735,日勝化,1150527,1150320~1150330,日勝化工股份有限公司股務部；地址：南投市工業南二路七號,,2026-05-15
1150514,1736,喬山,1150624,1150417~1150427,喬山健康科技股份有限公司，台中市大雅區東大路二段999號,,2026-05-15
1150514,1737,臺鹽,1150624,1150410~1150420,「臺鹽實業股份有限公司」(702 台南市南區健康路一段297號),,2026-05-15
1150514,1752,南光,1150528,1150320~1150330,南光化學製藥股份有限公司 財務部，台南市新化區中山路1001號,,2026-05-15
1150514,1760,寶齡富錦,1150525,1150320~1150330,臺北市南港區園區街3號16樓F棟(本公司營運管理處股務課),,2026-05-15
1150514,1762,中化生,1150528,1150320~1150330,中化合成生技股份有限公司財務部(新北市樹林區東興街1號)。,,2026-05-15
1150514,1773,勝一,1150520,1150313~1150323,勝一化工股份有限公司 (地址：高雄市永安區永工一路5號),,2026-05-15
1150514,1776,展宇,1150527,1150316~1150325,展宇科技材料股份有限公司投管部(新竹縣新竹工業區光復路71號),,2026-05-15
1150514,1783,和康生,1150611,1150330~1150409,和康生物科技股份有限公司(桃園市龜山區科技一路88號),,2026-05-15
1150514,1786,科妍,1150629,1150313~1150323,科妍生物科技股份有限公司 財務部 80681高雄市前鎮區南一路1號，電話：(07)8232258 分機：3107,,2026-05-15
1150514,1789,神隆,1150527,1150316~1150327,台灣神隆股份有限公司會計處股務單位。(地址:南部科學園區台南市善化區南科八路一號)，電話:06-5052888#2872,,2026-05-15
1150514,1795,美時,1150616,1150402~1150413,美時化學製藥股份有限公司-公司治理處（台北市信義區松仁路277號17樓）,,2026-05-15
1150514,1802,台玻,1150612,1150411~1150420,台灣玻璃工業股份有限公司 股務部，105-405台北市松山區南京東3段261號8樓,,2026-05-15
1150514,1805,寶徠,1150626,1150419~1150429,台北市內湖區新湖一路303號4樓(本公司財會部),,2026-05-15
1150514,1806,冠軍,1150617,1150410~1150420,冠軍建材股份有限公司財務部(苗栗縣竹南鎮大埔里13鄰竹篙厝200-7號),,2026-05-15
1150514,1808,潤隆,1150609,1150331~1150410,潤隆建設股份有限公司  財務部（地址：10462台北市中山區樂群二路267號8樓）。,,2026-05-15
1150514,1809,中釉,1150623,1150320~1150330,中國製釉股份有限公司 財務部  地址：31061新竹縣竹東鎮中興路4段136號,,2026-05-15
1150514,1810,和成,1150527,1150321~1150331,和成欣業股份有限公司總經理室地址桃園市八德區大發里後庄街135號,,2026-05-15
1150514,1817,凱撒衛,1150526,1150320~1150330,凱撒衛浴股份有限公司財務部(地址：新北市三重區興德路111之8號7樓),,2026-05-15
1150514,1903,士紙,1150605,1150329~1150408,士林紙業股份有限公司財會室(11163臺北市士林區福德路31號) 其他作業規範係依公司法第172條之1規定辦理。,,2026-05-15
1150514,1904,正隆,1150529,1150323~1150401,正隆股份有限公司股務課，新北市板橋區&#11936;&#12131;路&#12032;段三號三樓,,2026-05-15
1150514,1905,華紙,1150616,1150410~1150420,中華紙漿股份有限公司(地址：台北市重慶南路二段51號12樓財會部財務組),,2026-05-15
1150514,1906,寶隆,1150526,1150328~1150407,寶隆國際股份有限公司財務部，105401台北市松山區復興北路337號10樓。,,2026-05-15
1150514,1907,永豐餘,1150612,1150407~1150417,永豐餘投資控股股份有限公司股務室（台北市重慶南路二段51號14樓）,,2026-05-15
1150514,1909,榮成,1150527,1150328~1150407,榮成紙業股份有限公司財務中心，105401台北市松山區復興北路337號10樓。,,2026-05-15
