出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,已發行普通股數或TDR原股發行股數,date
1150514,000695,福勝證券股份有限公司,福勝證券,－ ,XX,新北市淡水區中正路63號3.4.5F,23470904,麥勝紘,麥淑媛,涂家銘,特別助理,謝淑惠,26251818,19891117,19980311,新台幣                 10.0000元,255000000,0,0,2,福勝證券股份有限公司,26251818#599,新北市淡水區中正路63號3.4.5F,國富浩華聯合會計師事務所,林松樹,林金&#40175;,FUSHAN 　　,"5F,63 CHUNG  CHEN  RD, TAMSHUI DISTRICT, NEW TAIPEI CITY, TAIWAN  R.O.C.　　NEW TAIPEI CITY, TAIWAN  R.O.C.",26251705,ecc@pie.com.tw,http://www.fushan-ewin.com.tw/,25500000,2026-05-15
1150514,000700,兆豐證券股份有限公司,兆豐證券,－ ,XX,台北市忠孝東路2段95號3樓,23474649,陳佩君,　　吳明宗　,吳明宗,總經理,林秀倩,(02)2327-8988,19891019,19940901,新台幣                 10.0000元,12100000000,0,0,1,元大證券股務代理部,02-2586-5859,臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,吳尚燉,王昱欣,Mega Securities,"3F, No.95, Sec. 2, Jhongsiao E. Rd.,Taipei City100, Taiwan,  R.O.C.",(02)3393-8696,http://www.megasec.com.tw,http://www.megasec.com.tw,1210000000,2026-05-15
1150514,000708,石橋證券股份有限公司,石橋,－ ,XX,桃園市平鎮區環南路二段16號,23474227,陳正曜,王明達,王明達,總經理,黃緹瑩,03-4927373,19891017,20000725,新台幣                 10.0000元,202000000,0,0,2,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路一段83號5樓,安永聯合會計師事務所,王慕凡,徐榮煌,BTSC,"No. 16, Sec. 2, Huannan Rd.Pingzhen Dist.,Taoyuan, ROC",03-4932903,bitwang@bit-bridge.com.tw,www.bit-bridge.com.tw,0,2026-05-15
1150514,000775,北城證券股份有限公司,北城,－ ,XX,新北市永和區永和路二段116號3樓,23530972,唐蕙媛,林美君,林美君,總經理,林榮祥,02-29283456,19891109,19980722,新台幣                 10.0000元,203465290,0,0,2,本公司股務,02-29283456,新北市永和區永和路二段116號3樓,安貞聯合會計師事務所,黃文和,李厚康,PACHN,"3F., No.116, Sec.2, Yung Ho Rd,Yung Ho City, Taipei, Taiwan. R.O.C.",02-29208664,service@peicheng.com.tw,www.peicheng.com.tw,20346529,2026-05-15
1150514,000779,國票綜合證券股份有限公司,國票綜合,－ ,XX,台北市中山區樂群三路128號5樓,23535744,何志強,邱榮澄,邱榮澄,總經理,林怡成,85021999,19900202,19940201,新台幣                 10.0000元,11500000000,0,0,1,國票綜合證券股務代理部,(02)25288988,台北市松山區南京東路五段188號15樓部分,資誠聯合會計師事務所,吳尚燉,林維琪,IBFS,"5F., No. 128, Lequn 3rd Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)Taipei,Taiwan, R.O.C",85026868,service＠ibfs.com.tw,https://www.ibfs.com.tw/,1150000000,2026-05-15
1150514,000815,台新綜合證券股份有限公司,台新證券,－ ,XX,台北市中山區中山北路二段44號2樓,23534956,陳俊宏,陳立國,陳立國,總經理,陳秀華,02-2181-5888,19900115,20110526,新台幣                 10.0000元,25054070680,0,0,1,台新綜合證券(股)公司股務代理部,02-2504-8125,台北市建國北路一段96號B1,安永聯合會計師事務所,徐榮煌,郭紹彬,TSSCO　　,"2F,No. 44, Sec. 2, Zhongshan N. Rd.,Taipei, Taiwan(R.O.C)　",02-5570-8999,jbf@tssco.com.tw,www.tssco.com.tw,2505407068,2026-05-15
1150514,000838,安泰證券股份有限公司,安泰證券,－ ,XX,高雄市鳳山區五褔二路36號,23827117,洪允中,許瑞立,洪允中,董事長,許瑞立,07-8122789,19901012,19970301,新台幣                 10.0000元,300000000,0,0,2,,07-8122789,,展立會計師事務所,柯宗立,陳文達,Antay　,　　　　,07-8315419,antay581@ms22.hinet.net　,https://www.antay.com.tw/antay/index.html,0,2026-05-15
1150514,000856,新光證券股份有限公司,新光證券,－ ,XX,台北市重慶南路1段66-1號5樓,84703412,詹炳發,李建霆,李建霆,總經理,賴曉雯,02-23118181,19931125,20080506,新台幣                 10.0000元,2318000000,0,0,1,新光證券股份有限公司,02-23118787,台北市重慶南路1段66-1號11樓,勤業眾信,陳文香,施錦川,SKIS　　,"5F.,NO.66-1,SEC.1,CHUNG CHING S.RD.,TAIPEI,TAIWAN.ROC",02-23118736,eservice@mail.skis.com.tw,www.skis.com.tw,231800000,2026-05-15
1150514,000888,國泰綜合證券股份有限公司,國泰證,－ ,XX,台北市敦化南路二段218號3樓、4樓、7樓,27236155,莊順裕,周冠成,羅壯豪,資深副總經理,呂錦棠,23269888,20040512,20050927,新台幣                 10.0000元,7700000000,0,0,1,,,,勤業眾信聯合會計師事務所,辛宥呈,邵志明,Cathaysec,"7F,4F,3F., No.218, Sec. 2, Dunhua S. Rd.,Taipei 10669, Taiwan ,R.O.C.",27009385,service@cathaysec.com.tw,http://www.cathaysec.com.tw,770000000,2026-05-15
1150514,000930,華南永昌綜合證券股份有限公司,華南永昌,－ ,XX,臺北市民生東路4段54號5樓,22955774,黃進明,張敦富,吳翠江,副總經理,林晉安,0225456888,19880617,19880617,新台幣                 10.0000元,6547743460,204288776,0,1,華南永昌證券股務代理部,27186425,臺北市民生東路4段54號4樓,勤業眾信聯合會計師事務所,李穗青,吳鈞麟,H.N.S,"5F., No.54, Sec. 4, Minsheng E. Rd.Taipei, Taiwan, R.O.C",0225451685,ot@entrust.com.tw,http://www.entrust.com.tw,654774346,2026-05-15
1150514,000960,富邦綜合證券股份有限公司,富邦證券,－ ,XX,臺北市大安區仁愛路4段169號3.4樓,22957301,程明乾,郭永宜,郭永宜,總經理,胡世芬,(02)87716888,19880711,19880711,新台幣                 10.0000元,16258551470,0,0,1,富邦綜合證券股務代理部,(02)23611300,台北市許昌街17號2樓,安侯建業會計師事務所,蔡佩汝,李逢暉,FBS,"3F&4F., No.169, Sec. 4, Ren'  ai Rd., Da' an Dist.Taipei City , Taiwan (R.O.C.)",(02)87716795,service.sec@fubon.com,www.fubon.com/securities/home/,1625855147,2026-05-15
1150514,000980,元大證券股份有限公司,元大證券,－ ,XX,台北市南京東路3段219號11樓,97160609,陳修偉,郭明正,劉明郎,執行副總經理,黃士真,2718-5886,19960626,19970927,新台幣                 10.0000元,65924526430,247258839,0,1,元大證券股務代理部,2586-5859,台北市大安區敦化南路二段67號地下一樓,資誠聯合會計師事務所,郭柏如,張家荃,YUANTA,"11F, No. 219, Sec. 3, Nanking E. Rd.,Taipei, Taiwan, ROC.",2717-0743,webmaster@yuanta.com,http://www.yuanta.com.tw,6592452643,2026-05-15
1150514,0009A0,永豐金證券股份有限公司,永豐金證,－ ,XX,台北市中正區重慶南路一段二號七樓、十八樓及二十樓,23113343,朱士廷,蘇威嘉,藍玫君,副總經理,林芷茜,23114345,19881011,19900628,新台幣                 10.0000元,16892430000,0,0,1,永豐金證券股務代理部,2381-6288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,李穗青,吳怡君,SinoPac,"7F、18F &20F, 2 Chung Ching S. Rd.,Sec.1,Taipei , Taiwan , R.O.C.　　",23112220,info.gs@sinopac.com,https://securities.sinopac.com/,1689243000,2026-05-15
1150514,1111,欣欣水泥企業股份有限公司,欣欣水泥,－ ,01,花蓮市國聯二路95號,36513594,郭先琛,謝啟榮,陳德華,副總經理,李永光,03-8332852,19740906,19821124,新台幣                 10.0000元,930330840,0,0,2,欣欣水泥企業股份有限公司,03-8332852,花蓮市國聯二路95號,勤業眾信聯合會計師事務所,劉建良,呂相瑩,HHCEC　,"No.95, Guolian 2nd Rd.,Hualien,  R. O. C",03-8332835,hsin.hsin.CEC@hsin-hsin.com.tw,無　,93033084,2026-05-15
1150514,1237,台灣糖業股份有限公司,台糖公司,－ ,02,臺南市東區生產路68號,03794905,吳明昌,吳明昌,曾見占,副總經理,謝昆霖,06-3378888,19480909,19500901,新台幣                 10.0000元,56367498650,0,0,2,台糖公司秘書處,06-3378672~3,臺南市東區生產路68號,安永聯合會計師事務所,陳政初,洪國森,TSC,"No.68, Shengchan Rd., East DistrictTainan City 701, Taiwan (R.O.C.)",06-3378500,tsc01@taisugar.com.tw,http://www.taisugar.com.tw/,5636749865,2026-05-15
1150514,1242,新東陽股份有限公司,新東陽,－ ,02,台北市大安區忠孝東路四段289號8樓,15319335,麥寬成,麥升陽,朱若昱,經理,鄭理明,02  2772-6222,19721204,19911028,新台幣                 10.0000元,880000000,0,0,1,新東陽股份有限公司,(02)2772-6222,台北市大安區忠孝東路四段289號8樓,國富浩華聯合會計師事務所,林志隆,鄭翔宇,HTY,"8F. NO. 289,  CHUNG  HSIAO  EAST  ROAD  SEC.  4  　　TAIPEI,TAIWAN. R.O.C.　",02  2721-7144,liju@mail.hty.com.tw,www.hty.com.tw　　,88000000,2026-05-15
1150514,1246,中聯油脂股份有限公司,中聯油脂,－ ,02,台中市清水區海濱里北堤路1-8號,89480404,蔡清松,余凌&#20914;,蔡清松,董事長,余凌&#20914;,04-26571112,19950707,19970531,新台幣                 10.0000元,600000000,0,0,2,,,,勤業眾信會計師事務所,謝建新,翁博仁,　CUOC　,"No . 1-8 , Beiti  Rd . , Qingshui  Dist .TAICHUNG,TAIWAN,R.O.C.　",04-26574289,union oil @ms17 hinet.net.,http://www.cuoc.com.tw,60000000,2026-05-15
1150514,1267,京華堂實業股份有限公司,京華堂,－ ,02,台北市內湖區瑞光路258巷52號1樓,84478111,唐上文,唐上文,邱月卿,經理,鍾玲慧,(02)2658-1611,19931026,20150119,新台幣                 10.0000元,235460320,0,0,1,台新綜合證券(股)公司股務代理部,(02)2504-8125,台北市中山區建國北路1段96號B1,廣信益群聯合會計師事務所,黃健豪,翁子霖,GNT,"1F.,No.52,Ln.258,Ruiguang Rd.,Neihu Dist.,Taipei City,Taiwan(R.O.C.)",(02)2658-1957,info@gnt.com.tw,www.gnt.com.tw,0,2026-05-15
1150514,1328,台灣中油股份有限公司,中油,－ ,03,高雄市楠梓區宏南里左楠路2號,03707901,方振仁,張敏,林珂如,副總經理,羅博童,02-8789-8989,19600430,19971224,新台幣                 10.0000元,130100000000,0,0,2,中國信託商業銀行代理部,02-6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,謝秋華,郭仰倫,CPC　　,"No.2, Tsonan Rd. , Nantzu  District ,　Kaohsiung City 81126 ,Taiwan ,  R.O.C.　",02-8789-9000,http://new.cpc.com.tw/contact/mailService.aspx,www.cpc.com.tw　　,13010000000,2026-05-15
1150514,1408,中興紡織廠股份有限公司,中興紡織,－ ,04,台北市信義區基隆路一段200號6樓之1,35082604,鮑泰鈞,吳漢雄,劉智文,協理,無,23455777,19561030,20071219,新台幣                 10.0000元,5450703820,0,0,1,群益金鼎證券股份有限公司代理部,(02)~27023999,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,徐明釧,涂展源,CST,"6F.-1, No.200, Sec. 1, Keelung Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.Taipei City 110, Taiwan(R.O.C.)",87809880,cs@mail.chung-shing.com.tw,http://www.chung-shing.com.tw,545070382,2026-05-15
1150514,1550,台全電機股份有限公司,台全電機,－ ,05,台北市南京東路3段346號7樓,11824327,鍾慧靜,鍾慧靜,林芳如,副總經理,鍾慧靜,02-27814171,19700429,19961216,新台幣                 10.0000元,425250000,0,0,1,台全電機股份有限公司,02-27814171,台北市南京東路3段346號7樓,勤業眾信聯合會計師事務所,劉怡青,黃秀椿,T.E.M.　　,7TH.FL.. NO.346.SEC.3.NAN-KING E.ROAD.　　TAIPEI TAIWAN.R.O.C.　　,02-27521063,taigene@taigene.com.tw,http://www.taigene.com.tw　　,42525000,2026-05-15
1150514,1557,金豐機器工業股份有限公司,金豐機器,－ ,05,彰化市莿桐里彰水路186號,58303609,張於正,曾盛明,郭光輝,經理,王思之,04-7524131,19650223,19990707,新台幣                 10.0000元,1685554000,0,0,1,金豐機器工業股份有限公司,04-7524131,彰化市彰水路186號,建智聯合會計師事務所,陳貴端,廖年傑,CFT　　,"186 CHANG SHUI ROAD, CHANG HUA, TAIWAN 500, R.O.C.　　186 CHANG SHUI ROAD, CHANG HUA, TAIWAN　",04-7510927,t2686@chinfong.com.tw,WWW.CHINFONG.COM.TW　　,168555400,2026-05-15
1150514,1585,鎧鉅科技股份有限公司,鎧鉅,－ ,20,新北市三峽區介壽路一段412巷18號,12642444,林柄達,蔣清河,蔣清河,執行董事兼總經理,徐惠娟,02-26685678,20001026,20070403,新台幣                 10.0000元,577000000,0,0,1,宏遠證券股份有限公司,02-23268818,台北市大安區信義路四段236號3樓,馬施云大華聯合會計師事務所,吳昆益,趙翊棋,TOPGREEN,"No.18, Ln.412, Sec. 1,Jieshou Rd.,Sanxia Dist.,New Taipei City 237,Taiwan R.O.C.",02-26685858,maggie@topgreentech.com,www.topgreentech.com,57700000,2026-05-15
1150514,1592,英瑞國際股份有限公司,英瑞-KY,KY 開曼群島                                                    ,12,台南市安平區慶平路573號10樓,41134952,翁瑞蓮,翁瑞蓮,缺補,無,缺補,(06) 293-1556,20091119,20140808,新台幣                 10.0000元,1109782500,0,0,1,永豐金證券(股)公司股務代理部,02 2381-6288,台北市100中正區博愛路17號3樓,缺補,缺補,缺補,Enterex,"10F., No.573, Qingping Rd., Anping Dist.,Tainan City 708, Taiwan (R.O.C.)",(06) 299-8584,wong@enterexinternational.com,http://www.enterexinternational.com/,110978250,2026-05-15
1150514,1602,太平洋電線電纜股份有限公司,太電,－ ,06,桃園市楊梅區快速路五段858號,03064800,苑竣唐,苑竣唐,顏建村,副總經理,張錦源,02-66366100,19571230,20040428,新台幣                 10.0000元,7359000000,0,0,1,太平洋電線電纜(股)公司股務處,02-6635-6526,新北市三重區(湯城園區)重新路五段609巷10之11號1樓,眾智聯合會計師事務所,楊永成,莊雯秋,PEWC,"No.858, Sec. 5, Kuaisu Rd.,Yangmei Dist., Taoyuan City Taiwan R.O.C",02-66360706,pewcyen@mail.pewc.com.tw,www.pewc.com.tw,735900000,2026-05-15
1150514,1613,台一國際股份有限公司,台一,－ ,06,台北市民生東路三段129號10樓,34284955,許守信,盧冠彰,簡崇碩,經理,高名士,02-27187333,19790911,19890922,新台幣                 10.0000元,2274326130,27528000,0,1,華南永昌證券,02-27186425,台北市民生東路4段54號4樓,馬施云大華聯合會計師事務所,吳昆益,黃俊諺,Tai-I,"10F,No.129,Sec.,3,Ming Sheng E.RDTaipei, Taiwan, R.O.C.",02-27191311,ivanc@tai-i-int.com.tw,www.tai-i-int.com.tw,227418471,2026-05-15
1150514,1619,大展電線電纜股份有限公司,大展電線,－ ,06,桃園市觀音區富源里新富路855號,05024240,沈尚弘,王文瑞,王文瑞,總經理,黃益慶,(03)4901511,19800526,19910328,新台幣                 10.0000元,851499530,0,0,1,凱基證券股份有限公司,(02)23892999,台北市中正區重慶南路一段2號5樓,群智聯合會計師事務所,呂松裕,呂亞哲,CUPRIME　,"No.855, Sinfu Rd., Guanyin DistrictTaoyuan City 32845, Taiwan",(03)4905547,i_ching@mail.taya.com.tw,http://cuprime.com.tw/　　,85149953,2026-05-15
1150514,1716,永信藥品工業股份有限公司,永信藥品,－ ,07,台中市大甲區中山路一段1191號,56065601,李其澧,蔡穎吉,陳炳崑,協理,柯誌龍,04-26875100,19650826,19890401,新台幣                 10.0000元,1096225280,0,0,1,元大證券股份有限公司,02-25865859,106臺北市大安區敦化南路2段67號地下一樓,安侯建業聯合會計師事務所,趙敏如,吳佳翰,Y.S.P.,"No.1191,Sec.l,Chung Shan Rd.,Tachia,Taichung,Taiwan,R.O.C",04-26869418,ysp@yungshingroup.com,www.ysp.com.tw,109622528,2026-05-15
1150514,1739,欣雲天然氣股份有限公司,欣雲天然,－ ,07,斗六市鎮西路3號,22820164,林裕盟,林文皇,林文皇,總經理,林世昌,05-5327595,19880401,19910520,新台幣                 10.0000元,871355700,0,0,2,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路1段83號5樓,大中國際聯合會計師事務所,林月霞,施文婉,S.Y.G.C　　,"No.3,Jen shi., Douliou City.　　Yunlin, Taiwan　　",05-5339563,Shinyungas@yahoo.com.tw,無　　,87135570,2026-05-15
1150514,1740,欣桃天然氣股份有限公司,欣桃天然,－ ,07,桃園市法治路10號,43147546,房茂宏,簡士善,葉青松,營業部經理,李慶中,03-3352191,19720718,19910110,新台幣                 10.0000元,1828449170,0,0,1,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號11樓,勤業眾信會計師事務所,蘇郁琇,王攀發,ST Natural,NO.10 Fa Chih RoadTaoyuan Taiwan 330  R.O.C.　,03-3375432,ShinTao.gas@msa.hinet.net,www.shintao.gas.com.tw,182844917,2026-05-15
1150514,1745,欣嘉石油氣股份有限公司,欣嘉公司,－ ,07,嘉義市和平路45號,22658633,黃金財,賴廷彰,賴廷彰,總經理,樊立平,05-2284208,19870810,19931115,新台幣                 10.0000元,437661770,0,0,2,凱基證券(股)公司股務代理部,02-23892999,台北市重慶南路一段二號5樓,正風聯合會計師事務所,彭莉真,吳欣亮,　無　,　NO.45.HUO-PING  ROAD　　CHIA  YI   TAIWAN  R.O.C　,05-2284149,shinchia45@gmail.com,http://www.shin-chia.com.tw/,43766177,2026-05-15
1150514,1763,奇美實業股份有限公司,奇美實業,－ ,07,台南市仁德區中正路一段398號,68387705,許家彰,趙令瑜,林丕淇,副處長,許菁容,06-2663000,19600111,19830107,新台幣                 10.0000元,18167379930,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,吳趙仁,連淑凌,CHIMEI,"No. 398 , Sec. 1 , Zhongzheng Rd., Rende Dist.Tainan City, Taiwan",無,service@mail.chimei.com.tw,www.chimeicorp.com,1816737993,2026-05-15
1150514,1764,長春石油化學股份有限公司,長春石化,－ ,07,台北市中山區松江路301號7樓,11384806,廖龍星,蔡智全,廖龍星,董事長,蔡智全,02-2500-1800,19640710,19811101,新台幣                 10.0000元,7151862870,0,0,1,長春石油化學股份有限公司股務室,02-7724-9695,10477台北市中山區松江路301號7樓,安侯建業聯合會計師事務所,江曉苓,陳宜君,CCPC,"7F., No.301, Songjiang Rd., Zhongshan Dist.Taipei City, 104070 Taiwan(R.O.C.)",02-2518-7988,suting_hsu@ccpgp.com,WWW.CCPGP.COM,715186287,2026-05-15
1150514,1765,長春人造樹脂廠股份有限公司,長春樹脂,－ ,07,高雄市大寮區華西路8號,11384708,廖龍星,陳厚福,廖龍星,董事長,陳厚福,02-2500-1800,19571228,19810715,新台幣                 10.0000元,4375171350,0,0,1,長春人造樹脂廠(股)公司股務室,02-2500-1838,10477台北市中山區松江路301號7樓,安侯建業聯合會計師事務所,江曉苓,陳宜君,CCP,"No.8, Huaxi Rd., Daliao Dist., Kaohsiung City 831, Taiwan (R.O.C.)Taiwan (R.O.C.)",02-2518-7988,tingyuan_yang@ccpgp.com,WWW.CCPGP.COM,437517135,2026-05-15
1150514,1766,大連化學工業股份有限公司,大連化工,－ ,07,高雄市大寮區華西路8-1號,12233428,林顯東,黃福助,林顯東,董事長,黃福助,02-77522800,19790630,19821004,新台幣                 10.0000元,4935573680,0,0,1,本公司,02-77522884,台北市松江路223號18樓,勤業眾信聯合會計師事務所,翁博仁,池瑞全,DCC,"No.8-1, Huaxi Rd., Daliao Dist., Kaohsiung City 831,Taiwan (R.O.C.)",02-25099619,service@dcc.com.tw,www.dcc.com.tw,493557368,2026-05-15
1150514,1767,陽明山瓦斯股份有限公司,陽瓦,－ ,07,台北市北投區中央南路二段七十二號,29705246,賴秋育,吳文成,陳翰霆,總工程師,劉一錡,28948686,19671028,19831230,新台幣                 10.0000元,744093430,0,0,2,陽明山瓦斯股份有限公司,28948686-803,台北市北投區中央南路二段72號,勤業眾信聯合會計師事務所,陳文香,邱鏞銘,YMS　　,"72, CHUNG- YANG  SOUTH  ROAD  SEC.2, PEI-TOU　　TAIPEI , TAIWAN ,R.O.C.　　",28951241,mis@ymsgas.com.tw,http.//www.ymsgas.com.tw 　　,74409343,2026-05-15
1150514,1769,欣中天然氣股份有限公司,欣中公司,－ ,07,台中市西屯區天水中街36號,51326774,林高德,王紹華,陳鴻嘉,副總經理,李維安,0423139999,19720229,19860821,新台幣                 10.0000元,1803073160,0,0,1,群益金鼎證券股份有限公司,0227023999,台北市敦南路2段97號地下2樓,勤業眾信聯合會計師事務所,郭乃華,李麗凰,SHINCHUNG CO.,"36, TAIN-SHEI-CHUNG ST,　　TAICHUNG , TAIWAN , R.O.C.　　",0423130991,webmaster@ms.scgas.com.tw,http://www.scgas.com.tw　　,180307316,2026-05-15
