出表日期,基金代號,基金簡稱,基金類型,基金中文名稱,基金英文名稱,標的指數/追蹤指數名稱,標的指數是否為客製化或需揭露相關資訊之指數,股票及債券投資比例說明,是否設有績效指標,績效指標中文名稱,績效指標英文名稱,是否包含國外成分股,基金統一編號,成立日期,上市日期,基金經理人,經理公司總機,經理公司地址,經理公司董事長,經理公司發言人,經理公司總經理,經理公司代理發言人,總代理人,發行單位數/轉換數,保管機構,保管機構電話,保管機構地址,備註,date
1150514,0060,新台灣,國內成分證券指數股票型基金,元大新台灣證券投資信託基金,Yuanta/P-shares TWSE Taiwan Non－Tech 50 ETF,未含電子股50指數,,不適用,不適用,不適用,不適用,否,10342511,0970806,0970818,謝宜蓁,(02)27175555,台北市敦化南路一段66號5~6樓、68號2樓之1,林武田,劉宗聖,劉宗聖,張浴澤,,1153000,臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,,2026-05-15
1150514,0061,元大寶滬深,連結式證券指數股票型基金,元大標智滬深300證券投資信託基金,W.I.S.E. Yuanta/P-shares CSI 300 ETF,滬深300指數,否,不適用,不適用,不適用,不適用,是,25610486,0980804,0980817,張克豪,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,104116000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,006203,元大MSCI台灣,國內成分證券指數股票型基金,元大摩臺證券投資信託基金,Yuanta/ P-shares MSCI Taiwan ETF,MSCI&#174;臺灣指數,否,不適用,不適用,不適用,不適用,否,26306553,1000421,1000512,程惇亞,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,10218000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,006204,永豐臺灣加權,國內成分證券指數股票型基金,永豐臺灣加權ETF證券投資信託基金,Sinopac TAIEX ETF,臺灣證券交易所發行量加權股價指數,否,不適用,不適用,不適用,不適用,否,26332314,1000906,1000928,林永祥,(02)2361-8110,100台北市博愛路17號13樓,陳思寬,陳傳毅,濮樂偉,王麗君,,1500000,永豐證券投資信託股份有限公司,(02)2361-8110,100台北市博愛路17號13樓,,2026-05-15
1150514,006205,富邦上証,國外成分證券指數股票型基金,富邦上証180證券投資信託基金,Fubon SSE180 ETF,上証180指數,否,不適用,不適用,不適用,不適用,是,26334740,1000830,1000926,陳仲愷,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,102272000,台新國際商業銀行股份有限公司,(02)2326-8899,臺北市大安區仁愛路四段118號12樓,,2026-05-15
1150514,006206,元大上證50,國外成分證券指數股票型基金,元大中國傘型證券投資信託基金之上證50證券投資信託基金,Yuanta/P-shares SSE50 ETF,上證50指數,否,不適用,不適用,不適用,不適用,是,31830488,1010425,1010511,李舒禾,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,29778000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,006207,復華滬深,國外成分證券指數股票型基金,復華滬深300 A股證券投資信託基金,Fuh Hwa CSI 300 A Shares Exchange Traded Fund,滬深300指數,否,不適用,不適用,不適用,不適用,是,31835478,1010605,1010622,廖崇文,(02)8161-6800,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,,22392000,第一商業銀行股份有限公司,(02)2348-1111,台北市重慶南路一段30號,,2026-05-15
1150514,006208,富邦台50,國內成分證券指數股票型基金,富邦台灣釆吉50 證券投資信託基金,Fubon FTSE TWSE Taiwan 50 ETF,臺灣50指數,否,不適用,不適用,不適用,不適用,否,31840182,1010622,1010717,洪珮甄,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,1847040000,第一商業銀行股份有限公司,(02)2348-1111,台北市中正區重慶南路一段30號17F,,2026-05-15
1150514,00625K,富邦上証+R,國外成份/加掛外幣證券指數股票型基金,富邦上証180證券投資信託基金-加掛人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,FUBON SSE 180 ETF RMB,上証180指數,否,不適用,不適用,不適用,不適用,是,26334740,1050808,1050808,陳仲愷,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,333000,台新國際商業銀行股份有限公司,(02)2326-8899,臺北市大安區仁愛路四段118號12樓,,2026-05-15
1150514,00631L,元大台灣50正2,槓桿/反向指數股票型基金,元大ETF傘型證券投資信託基金之台灣50單日正向2倍證券投資信託基金,Yuanta Daily Taiwan 50 Bull 2X ETF,臺灣50指數,否,不適用,不適用,不適用,不適用,否,38619904,1031023,1031031,曾逸江,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,4288348000,臺灣集中保管結算所股份有限公司,(02)2719-5805,臺北市復興北路363號11樓,,2026-05-15
1150514,00632R,元大台灣50反1,槓桿/反向指數股票型基金,元大ETF傘型證券投資信託基金之台灣50單日反向1倍證券投資信託基金,Yuanta Daily Taiwan 50 Bear -1X ETF,臺灣50指數,否,不適用,不適用,不適用,不適用,否,38619910,1031023,1031031,陳威志,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,2330207730,臺灣集中保管結算所股份有限公司,(02)2719-5805,臺北市復興北路363號11樓,,2026-05-15
1150514,00633L,富邦上証正2,槓桿/反向指數股票型基金,富邦中國ETF傘型證券投資信託基金之富邦上証180單日正向兩倍證券投資信託基金,Fubon SSE 180 Leveraged 2X Index ETF,上証180兩倍槓桿指數,否,不適用,不適用,不適用,不適用,是,38633011,1031111,1031125,林旻致,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,140958000,永豐商業銀行股份有限公司,(02)2517-3336,台北市中山區南京東路三段36號3樓,,2026-05-15
1150514,00634R,富邦上証反1,槓桿/反向指數股票型基金,富邦中國ETF傘型證券投資信託基金之富邦上証180單日反向一倍證券投資信託基金,Fubon SSE 180 Inversed Index ETF,上証180反向指數,否,不適用,不適用,不適用,不適用,是,38633027,1031111,1031125,溫芳儀,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,47256000,永豐商業銀行股份有限公司,(02)2517-3336,台北市中山區南京東路三段36號3樓,,2026-05-15
1150514,00635U,期元大S&amp;P黃金(原名：元大S&amp;P黃金),指數股票型期貨信託基金,元大標普高盛黃金ER指數股票型期貨信託基金,Yuanta S&amp;P GSCI Gold ER Futures ETF,標普高盛黃金ER指數,否,不適用,不適用,不適用,不適用,是,38651191,1040401,1040415,洪佑銘,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,294514000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00636,國泰中國A50,國外成分證券指數股票型基金,國泰富時中國A50證券投資信託基金,Cathay FTSE China A50 ETF,富時中國A50指數,否,不適用,不適用,不適用,不適用,是,42260528,1040320,1040401,楊庭杰,(02)2700-8399,台北市大安區敦化南路2段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,108946000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00636K,國泰富時中國A50+U,國外成份/加掛外幣證券指數股票型基金,國泰富時中國A50證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,Cathay FTSE China A50 ETF,富時中國A50指數,否,不適用,不適用,不適用,不適用,是,42260528,1061024,1061024,楊庭杰,(02)2700-8399,台北市大安區敦化南路2段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限,62100,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00637L,元大滬深300正2,槓桿/反向指數股票型基金,元大滬深300傘型證券投資信託基金之滬深300單日正向2倍證券投資信託基金,Yuanta Daily CSI300 Bull 2X ETF,滬深300日報酬正向兩倍指數,否,不適用,不適用,不適用,不適用,是,42300253,1040506,1040518,李舒禾,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,821106000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00638R,元大滬深300反1,槓桿/反向指數股票型基金,元大滬深300傘型證券投資信託基金之滬深300單日反向1倍證券投資信託基金,Yuanta Daily CSI 300 Bear -1X ETF,滬深300日報酬反向一倍指數,否,不適用,不適用,不適用,不適用,是,42300232,1040506,1040518,張克豪,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,27448000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00639,富邦深100,國外成分證券指數股票型基金,富邦深証100證券投資信託基金,Fubon SZSE 100 ETF,深証100指數,否,不適用,不適用,不適用,不適用,是,42302273,1040520,1040609,林旻致,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,112403000,台新國際商業銀行股份有限公司,(02)2326-8899,臺北市大安區仁愛路四段118號12樓,,2026-05-15
1150514,00640L,富邦日本正2,槓桿/反向指數股票型基金,富邦日本ETF傘型證券投資信託基金之富邦日本東証單日正向兩倍證券投資信託基金,Fubon TOPIX Leveraged 2X Index ETF,東証正向二倍指數,否,不適用,不適用,不適用,不適用,是,42319561,1040827,1040910,陳仲愷,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,9919000,永豐商業銀行股份有限公司,(02)2517-3336,台北市中山區南京東路三段36號3樓,,2026-05-15
1150514,00641R,富邦日本反1,槓桿/反向指數股票型基金,富邦日本ETF傘型證券投資信託基金之富邦日本東証單日反向一倍證券投資信託基金,Fubon TOPIX Inverse-1X Index ETF,東証反向一倍指數,否,不適用,不適用,不適用,不適用,是,42319582,1040827,1040910,林威宇,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,74758000,永豐商業銀行股份有限公司,(02)2517-3336,台北市中山區南京東路三段36號3樓,,2026-05-15
1150514,00642U,期元大S&amp;P石油(原名：元大S&amp;P石油),指數股票型期貨信託基金,元大標普高盛原油ER指數股票型期貨信託基金,Yuanta S&amp;P GSCI Crude Oil ER Futures ETF,標普高盛原油增強超額回報指數,否,不適用,不適用,不適用,不適用,是,42320363,1040827,1040907,黃議玄,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,109321000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00643,群益深証中小,國外成分證券指數股票型基金,群益深証中小１００證券投資信託基金,CAPITAL SZSE SME １００ INDEX EXCHANGE TRADED FUND,中小企業１００指數,否,不適用,不適用,不適用,不適用,是,42323777,1041112,1041202,洪祥益,(02)2706-7688,台北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,無,82700000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00643K,群益深証中小+R,國外成份/加掛外幣證券指數股票型基金,群益深証中小１００證券投資信託基金加掛—人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,CAPITAL SZSE SME １００ INDEX EXCHANGE TRADED FUND,中小企業１００指數,否,不適用,不適用,不適用,不適用,是,42323777,1041112,1050826,洪祥益,(02)2706-7688,臺北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,無,127000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00645,富邦日本,國外成分證券指數股票型基金,富邦日本東証證券投資信託基金,Fubon TOPIX ETF,東證股價指數,否,不適用,不適用,不適用,不適用,是,42328908,1041028,1041106,謝恩雅,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,51497000,永豐商業銀行股份有限公司,(02)2517-3336,台北市中山區南京東路三段36號3樓,,2026-05-15
1150514,00646,元大S&amp;P500,國外成分證券指數股票型基金,元大標普500傘型證券投資信託基金之標普500證券投資信託基金,Yuanta S&amp;P 500 ETF,標普500指數,否,不適用,不適用,不適用,不適用,是,42333613,1041202,1041214,盧永 祥,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,545485000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00647L,元大S&amp;P500正2,槓桿/反向指數股票型基金,元大標普500傘型證券投資信託基金之標普500單日正向2倍證券投資信託基金,Yuanta Daily S&amp;P 500 Bull 2X ETF,標普500 2倍槓桿指數,否,不適用,不適用,不適用,不適用,是,42333579,1041202,1041214,方雅婷,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,6416000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00648R,元大S&amp;P500反1,槓桿/反向指數股票型基金,元大標普500傘型證券投資信託基金之標普500單日反向1倍證券投資信託基金,Yuanta Daily S&amp;P 500 Bear 1X ETF,標普500反向指數,否,不適用,不適用,不適用,不適用,是,42333563,1041202,1041214,方雅婷,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,146688000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00649,FH香港,國外成分證券指數股票型基金,復華香港ETF傘型證券投資信託基金之復華恒生證券投資信託基金,Fuh Hwa Hang Seng ETF,恒生指數,否,不適用,不適用,不適用,不適用,是,42329884,1050113,1050127,劉妙惠,(02)8161-6800,台北市八德路二段308號8樓,杜俊雄,周輝啟,周輝啟,無,,4272000,玉山商業銀行股份有限公司,(02)2562-1313,台北市敦化北路315號8樓,,2026-05-15
1150514,00650L,復華香港正2,槓桿/反向指數股票型基金,復華香港ETF傘型證券投資信託基金之復華恒生單日正向二倍證券投資信託基金,Fuh Hwa Daily Hang Seng Leveraged 2X ETF,恒指槓桿指數,否,不適用,不適用,不適用,不適用,是,42329863,1050113,1050127,廖崇文,(02)8161-6800,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,,121338000,玉山商業銀行股份有限公司,(02)2562-1313,台北市敦化北路315號8樓,,2026-05-15
1150514,00651R,復華香港反1,槓桿/反向指數股票型基金,復華香港ETF傘型證券投資信託基金之復華恒生單日反向一倍證券投資信託基金,Fuh Hwa Daily Hang Seng Inversed ETF,恒指短倉指數,否,不適用,不適用,不適用,不適用,是,42329879,1050113,1050127,廖崇文,(02)8161-6800,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,,33192000,玉山商業銀行股份有限公司,(02)2562-1313,台北市敦化北路315號8樓,,2026-05-15
1150514,00652,富邦印度,國外成分證券指數股票型基金,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY證券投資信託基金,Fubon NIFTY ETF,NIFTY指數,否,不適用,不適用,不適用,不適用,是,42376963,1050316,1050329,蘇筱婷,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,68035000,中國信託商業銀行股份有限公司,(02)2381-8890,台北市中正區重慶南路一段77號4樓,,2026-05-15
1150514,00653L,富邦印度正2,槓桿/反向指數股票型基金,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日正向兩倍證券投資信託基金,Fubon NIFTY 2X Leveraged Index ETF,NIFTY正向2倍指數,否,不適用,不適用,不適用,不適用,是,42376990,1050316,1050329,林旻致,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,18403000,中國信託商業銀行股份有限公司,(02)2381-8890,台北市中正區重慶南路一段77號4樓,,2026-05-15
1150514,00654R,富邦印度反1,槓桿/反向指數股票型基金,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日反向一倍證券投資信託基金,Fubon NIFTY -1 Inverse Index ETF,NIFTY反向1倍指數,否,不適用,不適用,不適用,不適用,是,42376984,1050316,1050329,黃煜翔,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,20466000,中國信託商業銀行股份有限公司,(02)2381-8890,台北市中正區重慶南路一段77號4樓,,2026-05-15
1150514,00655L,國泰中國A50正2,槓桿/反向指數股票型基金,國泰A50傘型證券投資信託基金之富時中國A50單日正向2倍證券投資信託基金,Cathay FTSE China A50 Daily Leveraged 2X ETF,富時中國A50兩倍槓桿指數,否,不適用,不適用,不適用,不適用,是,42385148,1050308,1050318,楊庭杰,(02)2700-8399,台北市大安區敦化南路二段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,72458000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00656R,國泰中國A50反1,槓桿/反向指數股票型基金,國泰A50傘型證券投資信託基金之富時中國A50單日反向1倍證券投資信託基金,Cathay FTSE China A50 Daily Inversed  ETF,富時中國A50反向指數,否,不適用,不適用,不適用,不適用,是,42385127,1050308,1050318,楊庭杰,(02)2700-8399,台北市大安區敦化南路二段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,20357000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00657,國泰日經225,國外成分證券指數股票型基金,國泰日本ETF傘型證券投資信託基金之日經225證券投資信託基金,Cathay Nikkei 225 Currency-hedged ETF Fund,日經225,否,不適用,不適用,不適用,不適用,是,42389475,1050425,1050509,游凱卉,(02)2700-8399,台北市大安區敦化南路二段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,7113000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00657K,國泰日經225+U,國外成份/加掛外幣證券指數股票型基金,國泰日經225證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,Cathay Nikkei 225 Currency-hedged ETF Fund(USD),日經225,否,不適用,不適用,不適用,不適用,是,42389475,1061024,1061024,游凱卉,(02)2700-8399,台北市大安區敦化南路二段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,29900,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00658L,國泰日本正2,槓桿/反向指數股票型基金,國泰日本ETF傘型證券投資信託基金之富時日本單日正向2倍證券投資信託基金,Cathay FTSE Japan Daily Leveraged 2X ETF Fund,富時日本單日正向2倍指數,否,不適用,不適用,不適用,不適用,是,42389496,1050425,1050509,李翰林,(02)2700-8399,台北市大安區敦化南路二段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,845000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00659R,國泰日本反1,槓桿/反向指數股票型基金,國泰日本ETF傘型證券投資信託基金之富時日本單日反向1倍證券投資信託基金,Cathay FTSE Japan Daily Inversed ETF Fund,富時日本單日反向1倍指數,否,不適用,不適用,不適用,不適用,是,42389480,1050425,1050509,李翰林,(02)2700-8399,台北市大安區敦化南路二段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,國泰證券投資信託股份有限公司,3080000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00660,元大歐洲50,國外成分證券指數股票型基金,元大已開發國家傘型證券投資信託基金之元大歐洲50證券投資信託基金,Yuanta EURO STOXX 50 ETF,歐洲 STOXX50 指數,否,不適用,不適用,不適用,不適用,是,42398684,1050601,1050615,許家瑋,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,8031000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
